model_label,name,calories_kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,default_portion_grams,source
braised_pork_rice,滷肉飯,187.00,6.20,26.10,6.50,250.0,開發用種子資料（OQ-2 待確認）
beef_noodle_soup,牛肉麵,110.00,7.80,12.40,3.20,600.0,開發用種子資料（OQ-2 待確認）
fried_chicken_cutlet,雞排,280.00,20.50,14.00,15.80,200.0,開發用種子資料（OQ-2 待確認）
bubble_tea,珍珠奶茶,85.00,1.10,15.60,2.00,500.0,開發用種子資料（OQ-2 待確認）
scallion_pancake,蔥抓餅,320.00,6.50,38.00,15.20,120.0,開發用種子資料（OQ-2 待確認）
dumplings,水餃,220.00,9.00,26.00,8.50,150.0,開發用種子資料（OQ-2 待確認）
oyster_omelette,蚵仔煎,155.00,7.20,18.50,5.80,250.0,開發用種子資料（OQ-2 待確認）
white_rice,白飯,130.00,2.70,28.20,0.30,200.0,開發用種子資料（OQ-2 待確認）
stir_fried_greens,炒青菜,75.00,2.40,5.60,4.80,120.0,開發用種子資料（OQ-2 待確認）
braised_pork_belly_rice,焢肉飯,235.00,8.10,25.30,11.20,280.0,開發用種子資料（OQ-2 待確認）
minced_pork_rice,肉燥飯,195.00,6.80,26.50,7.10,240.0,開發用種子資料（OQ-2 待確認）
egg_pancake,蛋餅,215.00,8.40,22.10,10.50,150.0,開發用種子資料（OQ-2 待確認）
